Plot,Species5,Species
249,Luppe,Lupinus perennis
249,Monfi,Monarda fistulosa
249,Panvi,Panicum virgatum
249,Petca,Petalostemum candidum
249,Petpu,Petalostemum purpureum
249,Petvi,Petalostemum villosum
249,Poapr,Poa pratensis
249,Queel,Quercus ellipsoidalis
249,Quema,Quercus macrocarpa
249,Rudse,Rudbeckia serotina
249,Schsc,Schizachyrium scoparium
249,Solne,Solidago nemoralis
249,Solri,Solidago rigida
249,Sornu,Sorghastrum nutans
249,Spocr,Sporobolus cryptandrus
249,Stisp,Stipa spartea
249,Vicvi,Vicia villosa
249,Zizau,Zizia aurea
250,Achmi,Achillea millefolium(lanulosa)
250,Agrsm,Agropyron smithii
250,Amoca,Amorpha canescens
250,Andge,Andropogon gerardi
250,Asctu,Asclepias tuberosa
250,Astca,Astragalus canadensis
250,Baple,Baptisia leucantha
250,Boucu,Bouteloua curtipendula
250,Bougr,Bouteloua gracilis
250,Broin,Bromus inermis
250,Bucda,Buchloe dactyloides
250,Calca,Calamagrostis canadensis
250,Corpa,Coreopsis palmata
250,Elyca,Elymus canadensis
250,Koecr,Koeleria cristata
250,Leeor,Leersia oryzoides
250,Lesca,Lespedeza capitata
250,Liaas,Liatris aspera
250,Luppe,Lupinus perennis
250,Monfi,Monarda fistulosa
250,Panvi,Panicum virgatum
250,Petca,Petalostemum candidum
250,Petpu,Petalostemum purpureum
250,Petvi,Petalostemum villosum
250,Poapr,Poa pratensis
250,Rudse,Rudbeckia serotina
250,Schsc,Schizachyrium scoparium
250,Solne,Solidago nemoralis
250,Solri,Solidago rigida
250,Sornu,Sorghastrum nutans
250,Spocr,Sporobolus cryptandrus
250,Stisp,Stipa spartea
250,Vicvi,Vicia villosa
250,Zizau,Zizia aurea
251,Asctu,Asclepias tuberosa
251,Monfi,Monarda fistulosa
251,Solri,Solidago rigida
252,Amoca,Amorpha canescens
252,Liaas,Liatris aspera
252,Monfi,Monarda fistulosa
252,Petpu,Petalostemum purpureum
253,Achmi,Achillea millefolium(lanulosa)
253,Agrsm,Agropyron smithii
253,Amoca,Amorpha canescens
253,Andge,Andropogon gerardi
253,Asctu,Asclepias tuberosa
253,Koecr,Koeleria cristata
253,Lesca,Lespedeza capitata
253,Liaas,Liatris aspera
253,Luppe,Lupinus perennis
253,Monfi,Monarda fistulosa
253,Panvi,Panicum virgatum
253,Petpu,Petalostemum purpureum
253,Poapr,Poa pratensis
253,Quema,Quercus macrocarpa
253,Schsc,Schizachyrium scoparium
253,Solri,Solidago rigida
253,Sornu,Sorghastrum nutans
254,Achmi,Achillea millefolium(lanulosa)
254,Amoca,Amorpha canescens
254,Andge,Andropogon gerardi
254,Lesca,Lespedeza capitata
254,Luppe,Lupinus perennis
254,Monfi,Monarda fistulosa
254,Panvi,Panicum virgatum
254,Petpu,Petalostemum purpureum
254,Solri,Solidago rigida
255,Queel,Quercus ellipsoidalis
256,Agrsm,Agropyron smithii
257,Achmi,Achillea millefolium(lanulosa)
257,Agrsm,Agropyron smithii
257,Amoca,Amorpha canescens
257,Elyca,Elymus canadensis
257,Koecr,Koeleria cristata
257,Lesca,Lespedeza capitata
257,Liaas,Liatris aspera
257,Luppe,Lupinus perennis
257,Monfi,Monarda fistulosa
257,Panvi,Panicum virgatum
257,Petpu,Petalostemum purpureum
257,Poapr,Poa pratensis
257,Queel,Quercus ellipsoidalis
257,Quema,Quercus macrocarpa
257,Schsc,Schizachyrium scoparium
257,Solri,Solidago rigida
257,Sornu,Sorghastrum nutans
258,Agrre,Agropyron repens
258,Agrsm,Agropyron smithii
258,Andge,Andropogon gerardi
258,Boucu,Bouteloua curtipendula
258,Bougr,Bouteloua gracilis
258,Bucda,Buchloe dactyloides
258,Calca,Calamagrostis canadensis
258,Elyca,Elymus canadensis
258,Koecr,Koeleria cristata
258,Leeor,Leersia oryzoides
258,Panvi,Panicum virgatum
258,Poapr,Poa pratensis
258,Schsc,Schizachyrium scoparium
258,Sornu,Sorghastrum nutans
258,Spocr,Sporobolus cryptandrus
259,Lesca,Lespedeza capitata
259,Schsc,Schizachyrium scoparium
260,Panvi,Panicum virgatum
260,Queel,Quercus ellipsoidalis
260,Quema,Quercus macrocarpa
260,Sornu,Sorghastrum nutans
261,Achmi,Achillea millefolium(lanulosa)
261,Amoca,Amorpha canescens
261,Asctu,Asclepias tuberosa
261,Lesca,Lespedeza capitata
261,Liaas,Liatris aspera
261,Luppe,Lupinus perennis
261,Monfi,Monarda fistulosa
261,Petpu,Petalostemum purpureum
262,Achmi,Achillea millefolium(lanulosa)
262,Agrsm,Agropyron smithii
262,Amoca,Amorpha canescens
262,Andge,Andropogon gerardi
262,Asctu,Asclepias tuberosa
262,Astca,Astragalus canadensis
262,Baple,Baptisia leucantha
262,Boucu,Bouteloua curtipendula
262,Bougr,Bouteloua gracilis
262,Broin,Bromus inermis
262,Bucda,Buchloe dactyloides
262,Calca,Calamagrostis canadensis
262,Corpa,Coreopsis palmata
262,Elyca,Elymus canadensis
262,Koecr,Koeleria cristata
262,Leeor,Leersia oryzoides
262,Lesca,Lespedeza capitata
262,Liaas,Liatris aspera
262,Luppe,Lupinus perennis
262,Monfi,Monarda fistulosa
262,Panvi,Panicum virgatum
262,Petca,Petalostemum candidum
262,Petpu,Petalostemum purpureum
262,Petvi,Petalostemum villosum
262,Poapr,Poa pratensis
262,Rudse,Rudbeckia serotina
262,Schsc,Schizachyrium scoparium
262,Solne,Solidago nemoralis
262,Solri,Solidago rigida
262,Sornu,Sorghastrum nutans
262,Spocr,Sporobolus cryptandrus
262,Stisp,Stipa spartea
262,Vicvi,Vicia villosa
262,Zizau,Zizia aurea
263,Liaas,Liatris aspera
263,Quema,Quercus macrocarpa
264,Amoca,Amorpha canescens
264,Astca,Astragalus canadensis
264,Baple,Baptisia leucantha
264,Lesca,Lespedeza capitata
264,Luppe,Lupinus perennis
264,Petca,Petalostemum candidum
264,Petpu,Petalostemum purpureum
264,Petvi,Petalostemum villosum
264,Vicvi,Vicia villosa
265,Luppe,Lupinus perennis
266,Achmi,Achillea millefolium(lanulosa)
266,Agrsm,Agropyron smithii
266,Andge,Andropogon gerardi
266,Petca,Petalostemum candidum
266,Petpu,Petalostemum purpureum
266,Petvi,Petalostemum villosum
266,Quema,Quercus macrocarpa
266,Schsc,Schizachyrium scoparium
266,Sornu,Sorghastrum nutans
267,Liaas,Liatris aspera
268,Koecr,Koeleria cristata
269,Achmi,Achillea millefolium(lanulosa)
269,Asctu,Asclepias tuberosa
269,Corpa,Coreopsis palmata
269,Liaas,Liatris aspera
269,Monfi,Monarda fistulosa
269,Rudse,Rudbeckia serotina
269,Solne,Solidago nemoralis
269,Solri,Solidago rigida
269,Zizau,Zizia aurea
270,Agrsm,Agropyron smithii
270,Koecr,Koeleria cristata
270,Schsc,Schizachyrium scoparium
270,Sornu,Sorghastrum nutans
271,Achmi,Achillea millefolium(lanulosa)
271,Agrsm,Agropyron smithii
271,Amoca,Amorpha canescens
271,Andge,Andropogon gerardi
271,Asctu,Asclepias tuberosa
271,Astca,Astragalus canadensis
271,Baple,Baptisia leucantha
271,Boucu,Bouteloua curtipendula
271,Bougr,Bouteloua gracilis
271,Broin,Bromus inermis
271,Bucda,Buchloe dactyloides
271,Calca,Calamagrostis canadensis
271,Corpa,Coreopsis palmata
271,Elyca,Elymus canadensis
271,Koecr,Koeleria cristata
271,Leeor,Leersia oryzoides
271,Lesca,Lespedeza capitata
271,Liaas,Liatris aspera
271,Luppe,Lupinus perennis
271,Monfi,Monarda fistulosa
271,Panvi,Panicum virgatum
271,Petca,Petalostemum candidum
271,Petpu,Petalostemum purpureum
271,Petvi,Petalostemum villosum
271,Poapr,Poa pratensis
271,Rudse,Rudbeckia serotina
271,Schsc,Schizachyrium scoparium
271,Solne,Solidago nemoralis
271,Solri,Solidago rigida
271,Sornu,Sorghastrum nutans
271,Spocr,Sporobolus cryptandrus
271,Stisp,Stipa spartea
271,Vicvi,Vicia villosa
271,Zizau,Zizia aurea
272,Petca,Petalostemum candidum
272,Petvi,Petalostemum villosum
272,Queel,Quercus ellipsoidalis
273,Achmi,Achillea millefolium(lanulosa)
273,Andge,Andropogon gerardi
273,Asctu,Asclepias tuberosa
273,Elyca,Elymus canadensis
273,Koecr,Koeleria cristata
273,Lesca,Lespedeza capitata
273,Liaas,Liatris aspera
273,Luppe,Lupinus perennis
273,Monfi,Monarda fistulosa
273,Panvi,Panicum virgatum
273,Petpu,Petalostemum purpureum
273,Poapr,Poa pratensis
273,Queel,Quercus ellipsoidalis
273,Quema,Quercus macrocarpa
273,Schsc,Schizachyrium scoparium
273,Solri,Solidago rigida
273,Sornu,Sorghastrum nutans
274,Achmi,Achillea millefolium(lanulosa)
274,Agrsm,Agropyron smithii
274,Amoca,Amorpha canescens
274,Andge,Andropogon gerardi
274,Asctu,Asclepias tuberosa
274,Astca,Astragalus canadensis
274,Baple,Baptisia leucantha
274,Boucu,Bouteloua curtipendula
274,Bougr,Bouteloua gracilis
274,Broin,Bromus inermis
274,Bucda,Buchloe dactyloides
274,Calca,Calamagrostis canadensis
274,Corpa,Coreopsis palmata
274,Elyca,Elymus canadensis
274,Koecr,Koeleria cristata
274,Leeor,Leersia oryzoides
274,Lesca,Lespedeza capitata
274,Liaas,Liatris aspera
274,Luppe,Lupinus perennis
274,Monfi,Monarda fistulosa
274,Panvi,Panicum virgatum
274,Petca,Petalostemum candidum
274,Petpu,Petalostemum purpureum
274,Petvi,Petalostemum villosum
274,Poapr,Poa pratensis
274,Rudse,Rudbeckia serotina
274,Schsc,Schizachyrium scoparium
274,Solne,Solidago nemoralis
274,Solri,Solidago rigida
274,Sornu,Sorghastrum nutans
274,Spocr,Sporobolus cryptandrus
274,Stisp,Stipa spartea
274,Vicvi,Vicia villosa
274,Zizau,Zizia aurea
275,Achmi,Achillea millefolium(lanulosa)
275,Agrsm,Agropyron smithii
