simulation,opt_N,opt_f,opt_t,opt_x,opt_g1,opt_g2,opt_g3,n_feasible
171,11000.0,50.0,10.0,0.0,2715512.7470503137,0.6033517547299458,0.9463558518978118,10674
172,11000.0,50.0,6.0,0.0,2578590.1382883918,0.6009448947311296,0.9442563381751409,12834
173,11000.0,50.0,11.0,0.30000000000000004,2978104.2688805712,0.6001459419959518,0.9670475229427701,10771
174,11000.0,50.0,7.0,0.0,2315353.006554545,0.6159534996936724,0.94455071209949,12474
175,11000.0,50.0,5.0,0.0,2675654.663321741,0.6059503692679427,0.9436977402645719,13284
176,11000.0,50.0,13.0,0.30000000000000004,3109035.6374522494,0.6001605653572867,0.9638130632219273,10275
177,11000.0,50.0,12.0,0.30000000000000004,2258197.4151526825,0.6001469806084734,0.9668514218737653,10602
178,11000.0,50.0,11.0,0.0,2725938.1560337283,0.605726860181298,0.9445159540566405,10404
179,11000.0,50.0,10.0,0.30000000000000004,2793122.7537614545,0.6001742029036801,0.9670036940241117,10858
180,11000.0,50.0,13.0,0.30000000000000004,2103049.2770092175,0.6001510513669099,0.9672714670037623,10348
181,11000.0,50.0,9.0,0.0,2223566.6376559786,0.6012007920477493,0.9508557298994768,11695
182,11000.0,50.0,9.0,0.30000000000000004,2410983.0500891763,0.6001178979034143,0.9676649213108098,11445
183,11000.0,50.0,13.0,0.30000000000000004,2502868.9252068386,0.6001621661767038,0.9655318359719055,10270
184,11000.0,50.0,11.0,0.30000000000000004,2813975.8221589765,0.6001355868585937,0.9658100351552374,10776
185,11000.0,50.0,10.0,0.30000000000000004,2973460.265412968,0.6001350048498841,0.9665943967649946,10858
186,11000.0,50.0,6.0,0.0,2186147.8219335657,0.6114141096587624,0.9443476787189246,12204
187,11000.0,50.0,8.0,0.4,2325857.990754007,0.6001136575461978,0.9733756749556152,11264
188,11000.0,50.0,11.0,0.0,3107354.241691647,0.6027322168605934,0.9455376311911868,10862
189,11000.0,50.0,6.0,0.0,2706754.4643156836,0.6105243966472926,0.9465576468783654,12474
190,11000.0,50.0,7.0,0.0,2049809.740917303,0.6012233092331538,0.947115567388256,11444
191,11000.0,45.0,6.0,0.0,2274606.7684103763,0.6015428206968223,0.9497055711580223,13374
192,11000.0,50.0,11.0,0.30000000000000004,2513347.754677484,0.6001356416159112,0.967632214386475,10602
193,11000.0,50.0,12.0,0.30000000000000004,2922806.498262728,0.6001840886717658,0.9659106116459643,10522
194,11000.0,50.0,9.0,0.30000000000000004,2591243.0847982983,0.6001382020461408,0.9674263296670592,11110
195,12000.0,50.0,11.0,0.4,2184962.5074133324,0.600051195194184,0.9734001565119333,10818
196,11000.0,50.0,9.0,0.0,2670837.1731004105,0.6228120611259607,0.9479912091438795,11574
197,12000.0,50.0,13.0,0.7000000000000001,3120843.47495441,0.6001194908917008,0.9914065978020815,10377
198,11000.0,50.0,11.0,0.30000000000000004,2927007.868025434,0.600179365170523,0.9670338568946211,10603
199,11000.0,50.0,12.0,0.30000000000000004,2266865.0792448064,0.6001659149971701,0.9660198366436669,10523
200,11000.0,50.0,6.0,0.0,2500721.714830565,0.6166832575558361,0.9396059417768248,13104
201,11000.0,50.0,5.0,0.0,2916813.871731679,0.6100553344972481,0.9453270655328242,13144
202,11000.0,50.0,8.0,0.30000000000000004,3052832.5576568707,0.6001247600942423,0.9676660738721952,11445
203,11000.0,50.0,12.0,0.30000000000000004,3207418.0052917264,0.6002047747405928,0.9642916054696352,10611
204,11000.0,50.0,12.0,0.30000000000000004,2924662.632170762,0.6001913489808938,0.9658616895657337,10438
205,11000.0,50.0,10.0,0.0,2103429.2329759626,0.6023727464306674,0.9494495119559344,11275
206,11000.0,50.0,7.0,0.0,2048942.4417499718,0.6069404030072933,0.9408345841036732,11844
207,11000.0,50.0,12.0,0.30000000000000004,2453082.646978352,0.6001809228763639,0.9662772461571498,10437
208,11000.0,50.0,9.0,0.0,2546366.8346089902,0.623095425747888,0.9470143673122472,11394
209,11000.0,50.0,8.0,0.0,2562485.164443643,0.605729873501931,0.9390099324223071,11784
210,11000.0,50.0,8.0,0.0,2040077.8574571512,0.6225654139401324,0.9432120626740607,12114
211,11000.0,50.0,12.0,0.30000000000000004,3133314.2655130634,0.600164993415369,0.9667459284347437,10434
212,11000.0,50.0,10.0,0.0,2664072.35749621,0.6214050360202252,0.9495911696182774,11124
213,11000.0,50.0,12.0,0.0,2321447.152353381,0.6021292630639641,0.9470091177618587,10607
214,11000.0,50.0,13.0,0.30000000000000004,2859997.2720419583,0.6002001021613943,0.964258274203717,10292
215,11000.0,50.0,7.0,0.0,1870127.230834294,0.6113202512089144,0.9404246460051803,12204
216,11000.0,50.0,9.0,0.0,2907351.5964198792,0.6032096499191081,0.9494828676504802,10944
217,11000.0,50.0,8.0,0.30000000000000004,2201784.3552603666,0.6001085480704241,0.9681114093789456,11361
218,11000.0,50.0,9.0,0.30000000000000004,2556509.991212149,0.6001348244908422,0.9683498703776519,11106
219,11000.0,50.0,8.0,0.0,2893038.1231217664,0.6048856406130585,0.9480437842561849,11304
220,11000.0,45.0,10.0,0.30000000000000004,2200645.716517627,0.6001553662725385,0.9592702031167254,11184
221,11000.0,50.0,14.0,0.30000000000000004,2928299.6905422853,0.6001647973867962,0.965007103867102,10187
222,11000.0,45.0,7.0,0.0,2825110.934127925,0.6025455703488963,0.9422680758061236,12834
223,11000.0,50.0,7.0,0.30000000000000004,2895045.88663086,0.6001175503719187,0.9677749962203086,11787
224,11000.0,50.0,9.0,0.30000000000000004,2342913.896262008,0.6001397525753684,0.9677734439140231,11106
225,11000.0,50.0,11.0,0.0,2858396.13867426,0.6021255019014625,0.947876523931816,10858
