N,f,t,x,D,V,R,I,Cost,Pi,E,S,g1,g2,g3
5000.0,0.0,6.0,0.0,17900.0,5000.0,26249.999999999996,0.0,275000.0,1001250.0,5000.0,0.85,1001250.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,6.0,0.1,17900.0,5000.0,26249.999999999996,2625.0,275000.0,1001250.0,4999.86875,0.8500525,1001250.0,0.9991677837819836,0.9502796889220768
5000.0,0.0,6.0,0.2,17900.0,5000.0,26249.999999999996,5250.0,275000.0,1001250.0,4999.7375,0.850105,1001250.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,6.0,0.30000000000000004,17900.0,5000.0,26249.999999999996,7875.0,275000.0,1001250.0,4999.60625,0.8501575,1001250.0,0.9991852690652034,0.9507784548327095
5000.0,0.0,6.0,0.4,17900.0,5000.0,26249.999999999996,10500.0,275000.0,1001250.0,4999.475,0.85021,1001250.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,6.0,0.5,17900.0,5000.0,26249.999999999996,13124.999999999998,275000.0,1001250.0,4999.34375,0.8502625,1001250.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,6.0,0.6000000000000001,17900.0,5000.0,26249.999999999996,15750.0,275000.0,1001250.0,4999.2125,0.8503149999999999,1001250.0,0.9992114969900334,0.9515266036986579
5000.0,0.0,6.0,0.7000000000000001,17900.0,5000.0,26249.999999999996,18375.0,275000.0,1001250.0,4999.08125,0.8503674999999999,1001250.0,0.9992202396316433,0.9517759866539742
5000.0,0.0,6.0,0.8,17900.0,5000.0,26249.999999999996,21000.0,275000.0,1001250.0,4998.95,0.85042,1001250.0,0.9992289822732534,0.9520253696092906
5000.0,0.0,7.0,0.0,17550.0,5000.0,30625.0,0.0,275000.0,1005625.0,5000.0,0.85,1005625.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,7.0,0.1,17550.0,5000.0,30625.0,3062.5,275000.0,1005625.0,4999.846875,0.85006125,1005625.0,0.9991692408889185,0.9503212527479629
5000.0,0.0,7.0,0.2,17550.0,5000.0,30625.0,6125.0,275000.0,1005625.0,4999.69375,0.8501225,1005625.0,0.9991794406374634,0.9506121995291653
5000.0,0.0,7.0,0.30000000000000004,17550.0,5000.0,30625.0,9187.500000000002,275000.0,1005625.0,4999.540625,0.85018375,1005625.0,0.9991896403860084,0.9509031463103677
5000.0,0.0,7.0,0.4,17550.0,5000.0,30625.0,12250.0,275000.0,1005625.0,4999.3875,0.850245,1005625.0,0.9991998401345534,0.9511940930915701
5000.0,0.0,7.0,0.5,17550.0,5000.0,30625.0,15312.5,275000.0,1005625.0,4999.234375,0.8503062499999999,1005625.0,0.9992100398830984,0.9514850398727719
5000.0,0.0,7.0,0.6000000000000001,17550.0,5000.0,30625.0,18375.000000000004,275000.0,1005625.0,4999.08125,0.8503674999999999,1005625.0,0.9992202396316433,0.9517759866539742
5000.0,0.0,7.0,0.7000000000000001,17550.0,5000.0,30625.0,21437.500000000004,275000.0,1005625.0,4998.928125,0.85042875,1005625.0,0.9992304393801883,0.9520669334351767
5000.0,0.0,7.0,0.8,17550.0,5000.0,30625.0,24500.0,275000.0,1005625.0,4998.775,0.85049,1005625.0,0.9992406391287333,0.952357880216379
5000.0,0.0,8.0,0.0,17200.0,5000.0,34999.99999999999,0.0,275000.0,1010000.0,5000.0,0.85,1010000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,8.0,0.1,17200.0,5000.0,34999.99999999999,3499.9999999999995,275000.0,1010000.0,4999.825,0.85007,1010000.0,0.9991706979958535,0.9503628165738489
5000.0,0.0,8.0,0.2,17200.0,5000.0,34999.99999999999,6999.999999999999,275000.0,1010000.0,4999.65,0.85014,1010000.0,0.9991823548513334,0.9506953271809374
5000.0,0.0,8.0,0.30000000000000004,17200.0,5000.0,34999.99999999999,10500.0,275000.0,1010000.0,4999.475,0.85021,1010000.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,8.0,0.4,17200.0,5000.0,34999.99999999999,13999.999999999998,275000.0,1010000.0,4999.3,0.8502799999999999,1010000.0,0.9992056685622934,0.9513603483951137
5000.0,0.0,8.0,0.5,17200.0,5000.0,34999.99999999999,17499.999999999996,275000.0,1010000.0,4999.125,0.8503499999999999,1010000.0,0.9992173254177734,0.9516928590022021
5000.0,0.0,8.0,0.6000000000000001,17200.0,5000.0,34999.99999999999,21000.0,275000.0,1010000.0,4998.95,0.85042,1010000.0,0.9992289822732534,0.9520253696092906
5000.0,0.0,8.0,0.7000000000000001,17200.0,5000.0,34999.99999999999,24499.999999999996,275000.0,1010000.0,4998.775,0.85049,1010000.0,0.9992406391287333,0.952357880216379
5000.0,0.0,8.0,0.8,17200.0,5000.0,34999.99999999999,27999.999999999996,275000.0,1010000.0,4998.6,0.85056,1010000.0,0.9992522959842133,0.9526903908234675
5000.0,0.0,9.0,0.0,16850.0,5000.0,39375.0,0.0,275000.0,1014375.0,5000.0,0.85,1014375.0,0.9991590411403736,0.9500303059667605
